
graph resources/graph_datasets/GEOM120.edgelist:
    base color: 11
    best solution:
        time    = 0.002152
        colors  = 11
    avg values:
        time    = 0.018155
        colors  = 11.000000


0 7
0 8
0 15
0 24
0 39
0 42
0 47
0 58
0 64
0 69
0 83
0 90
0 106
1 10
1 12
1 45
1 49
1 57
1 62
1 71
1 75
1 84
1 86
1 93
1 98
1 99
1 115
1 119
2 2
2 22
2 25
2 27
2 31
2 50
2 54
2 70
2 92
2 105
2 108
2 110
3 20
3 26
3 29
3 33
3 34
3 36
3 41
3 52
3 59
3 72
3 74
3 88
3 89
3 97
4 9
4 28
4 40
4 51
4 76
4 77
4 79
4 87
4 101
4 102
4 104
4 118
4 120
5 1
5 6
5 11
5 14
5 37
5 38
5 43
5 61
5 78
5 100
5 113
5 114
6 3
6 4
6 16
6 17
6 19
6 44
6 53
6 56
6 60
6 73
6 94
6 111
6 117
7 30
7 32
7 35
7 55
7 65
7 66
7 68
7 81
7 85
7 107
7 109
8 13
8 18
8 63
8 91
8 96
8 116
9 5
9 23
9 48
9 67
9 80
9 82
9 103
10 21
10 46
10 95
10 112
