
graph resources/graph_datasets/GEOM70a.edgelist:
    base color: 13
    best solution:
        time    = 0.000663
        colors  = 11
    avg values:
        time    = 0.002712
        colors  = 11.000000


0 1
0 3
0 22
0 27
0 35
0 53
0 57
0 60
1 2
1 20
1 21
1 29
1 33
1 34
1 58
1 69
2 8
2 13
2 18
2 26
2 39
2 43
2 52
3 4
3 11
3 16
3 24
3 40
3 45
3 66
3 70
4 12
4 28
4 37
4 47
4 63
4 67
5 5
5 17
5 38
5 41
5 42
5 44
5 46
6 9
6 19
6 30
6 51
6 55
6 59
6 62
7 7
7 10
7 23
7 32
7 49
7 61
7 64
7 65
8 14
8 31
8 48
8 54
9 6
9 25
9 50
9 56
9 68
10 15
10 36
