
graph resources/graph_datasets/R100_1gb.edgelist:
    base color: 7
    best solution:
        time    = 0.983009
        colors  = 5
    avg values:
        time    = 2.158888
        colors  = 5.000000


0 1
0 4
0 11
0 12
0 23
0 27
0 35
0 39
0 44
0 45
0 49
0 50
0 55
0 57
0 61
0 70
0 71
0 72
0 74
0 75
0 79
0 82
0 88
0 94
1 6
1 7
1 14
1 16
1 19
1 26
1 29
1 30
1 41
1 46
1 47
1 54
1 59
1 60
1 62
1 65
1 67
1 81
1 91
1 92
1 93
1 99
1 100
2 2
2 9
2 18
2 20
2 22
2 24
2 25
2 31
2 33
2 34
2 36
2 42
2 56
2 64
2 73
2 77
2 78
2 80
2 85
2 95
2 97
3 5
3 13
3 15
3 17
3 21
3 28
3 37
3 38
3 48
3 51
3 52
3 66
3 68
3 69
3 76
3 83
3 89
3 90
3 98
4 3
4 8
4 10
4 32
4 40
4 43
4 53
4 58
4 63
4 84
4 86
4 87
4 96
