
graph resources/graph_datasets/R75_9g.edgelist:
    base color: 36
    best solution:
        time    = 0.110144
        colors  = 33
    avg values:
        time    = 3.737535
        colors  = 33.299999


0 1
0 18
1 9
1 40
2 19
2 49
2 63
3 14
3 26
3 34
4 44
4 56
5 28
5 35
5 65
6 21
6 71
7 11
7 31
7 54
8 57
8 61
8 74
9 38
9 41
10 6
10 13
10 22
11 10
11 50
12 30
12 32
13 55
13 72
14 2
14 45
15 36
15 43
16 7
16 62
17 53
17 66
18 29
18 42
19 16
19 17
19 25
20 48
20 59
20 75
21 4
21 46
21 73
22 24
22 47
23 68
23 69
24 27
24 51
25 5
25 20
26 15
26 58
26 60
27 8
27 33
28 39
28 67
29 64
29 70
30 23
30 37
31 12
31 52
32 3
