
graph resources/graph_datasets/myciel7g.edgelist:
    base color: 8
    best solution:
        time    = 0.003168
        colors  = 8
    avg values:
        time    = 0.084436
        colors  = 8.000000


0 24
0 26
0 28
0 29
0 31
0 32
0 33
0 34
0 35
0 36
0 37
0 38
0 39
0 40
0 42
0 71
0 72
0 73
0 74
0 75
0 76
0 77
0 78
0 79
0 80
0 81
0 82
0 84
0 85
0 87
0 88
0 91
0 92
0 93
0 119
0 120
0 122
0 123
0 125
0 128
0 129
0 130
0 132
0 133
0 134
0 138
0 139
0 140
0 141
0 169
0 171
0 172
0 173
0 175
0 177
0 187
0 188
1 48
1 52
1 53
1 57
1 59
1 63
1 64
1 68
1 94
1 96
1 100
1 101
1 105
1 107
1 111
1 112
1 116
1 142
1 143
1 144
1 146
1 147
1 148
1 149
1 150
1 152
1 153
1 156
1 157
1 158
1 159
1 163
1 164
1 165
1 166
1 176
1 178
1 182
1 185
1 189
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 20
2 21
2 22
2 43
2 44
2 45
2 60
2 61
2 62
2 66
2 67
2 69
2 83
2 86
2 89
2 108
2 109
2 110
2 113
2 114
2 115
2 117
2 131
2 135
2 137
2 154
2 179
2 181
2 186
3 4
3 8
3 9
3 27
3 46
3 50
3 51
3 55
3 70
3 98
3 99
3 103
3 118
3 121
3 126
3 127
3 145
3 151
3 168
3 174
3 180
3 183
3 184
4 10
4 30
4 41
4 49
4 54
4 56
4 90
4 97
4 102
4 104
4 136
4 155
4 160
4 161
4 162
4 167
4 170
5 1
5 3
5 11
5 23
5 47
5 95
5 106
5 190
6 2
6 5
6 25
6 58
6 65
6 191
7 6
7 7
7 19
7 124
