
graph resources/graph_datasets/myciel7gb.edgelist:
    base color: 8
    best solution:
        time    = 0.009583
        colors  = 8
    avg values:
        time    = 0.061997
        colors  = 8.000000


0 12
0 13
0 14
0 16
0 17
0 19
0 21
0 22
0 37
0 38
0 40
0 44
0 45
0 62
0 63
0 67
0 86
0 87
0 89
0 90
0 91
0 92
0 107
0 108
0 109
0 110
0 111
0 112
0 113
0 116
0 117
0 131
0 132
0 133
0 134
0 135
0 139
0 140
0 155
0 156
0 157
0 158
0 159
0 161
0 177
0 184
1 51
1 52
1 53
1 55
1 56
1 59
1 60
1 61
1 65
1 69
1 70
1 71
1 72
1 73
1 74
1 75
1 77
1 79
1 80
1 81
1 83
1 84
1 85
1 94
1 143
1 144
1 145
1 146
1 147
1 150
1 151
1 152
1 153
1 163
1 165
1 166
1 167
1 168
1 169
1 170
1 175
1 182
1 187
1 189
2 6
2 8
2 29
2 30
2 32
2 33
2 35
2 42
2 43
2 57
2 64
2 66
2 68
2 82
2 101
2 103
2 105
2 114
2 115
2 119
2 124
2 125
2 128
2 136
2 138
2 148
2 160
2 162
2 173
2 174
2 179
2 186
2 188
3 7
3 25
3 27
3 31
3 41
3 46
3 54
3 78
3 88
3 93
3 99
3 102
3 104
3 120
3 122
3 123
3 127
3 137
3 141
3 149
3 172
3 178
3 181
3 183
4 3
4 24
4 26
4 34
4 48
4 50
4 96
4 98
4 106
4 118
4 121
4 126
4 129
4 130
4 154
4 171
4 180
4 185
5 2
5 5
5 11
5 28
5 36
5 39
5 49
5 58
5 97
5 100
5 164
5 176
6 4
6 9
6 15
6 18
6 20
6 47
6 95
6 142
6 190
7 1
7 10
7 23
7 76
7 191
