graph resources/graph_datasets/anna.col:
    best solution = 12

    time: avg  = 1.631490


0 2
0 10
0 11
0 14
0 17
0 22
0 23
0 26
0 30
0 32
0 34
0 38
0 41
0 43
0 47
0 48
0 59
0 60
0 62
0 63
0 65
0 68
0 79
0 82
0 87
0 88
0 89
0 90
0 91
0 96
0 102
0 104
0 105
0 106
0 109
0 113
0 114
0 118
0 119
0 120
0 121
0 123
0 125
0 131
0 132
0 134
1 4
1 6
1 9
1 12
1 13
1 16
1 28
1 31
1 35
1 51
1 53
1 57
1 66
1 67
1 69
1 71
1 93
1 98
1 107
1 110
1 111
1 116
1 127
1 130
2 39
2 45
2 46
2 49
2 54
2 80
2 81
2 83
2 84
2 92
2 94
2 97
2 101
2 103
2 108
2 117
3 3
3 19
3 21
3 24
3 33
3 37
3 40
3 42
3 50
3 52
3 56
3 61
3 73
3 99
3 112
3 126
3 128
3 129
4 70
4 100
4 133
4 135
5 15
5 20
5 27
5 75
5 76
5 77
5 86
5 122
5 137
6 5
6 7
6 44
6 85
6 95
7 72
7 136
8 25
8 29
8 36
8 78
9 1
9 8
9 55
9 58
9 64
9 74
9 115
9 124
10 138
11 18
