graph resources/graph_datasets/dsjc250.5.col:
    best solution = 40
    time: avg  = 15.766995



0 6
0 64
0 65
0 103
0 140
0 226
1 12
1 22
1 27
1 61
1 145
1 234
1 250
2 9
2 32
2 158
2 161
2 166
2 231
2 237
2 242
3 25
3 85
3 155
3 167
3 183
3 215
3 239
4 4
4 50
4 91
4 106
4 129
4 134
4 149
4 198
4 246
5 35
5 49
5 58
5 114
5 150
5 171
5 192
6 17
6 37
6 96
6 112
6 126
6 142
6 153
6 186
6 232
6 247
7 18
7 51
7 81
7 164
7 174
7 196
7 202
7 207
8 42
8 70
8 87
8 90
8 136
8 188
8 193
8 248
9 36
9 56
9 63
9 93
9 108
9 116
9 120
9 163
10 26
10 34
10 38
10 45
10 105
10 141
10 212
10 222
11 52
11 80
11 83
11 151
11 181
11 227
12 28
12 39
12 47
12 72
12 132
12 135
12 229
13 66
13 88
13 95
13 146
13 180
13 185
13 203
13 235
14 8
14 10
14 59
14 60
14 122
14 182
14 199
14 201
15 53
15 67
15 144
15 194
15 218
15 233
15 243
16 16
16 19
16 23
16 24
16 75
16 77
16 107
16 176
17 3
17 29
17 33
17 43
17 92
17 97
17 100
17 128
18 54
18 74
18 117
18 165
18 169
18 177
18 221
18 230
19 21
19 123
19 173
19 184
19 206
19 240
20 30
20 31
20 125
20 154
20 162
20 168
20 216
21 7
21 109
21 110
21 209
21 241
21 249
22 71
22 139
22 172
22 195
22 204
22 245
23 1
23 137
23 175
23 225
23 236
23 244
24 73
24 94
24 115
24 127
24 187
24 190
25 15
25 44
25 48
25 113
25 156
25 205
26 41
26 68
26 130
26 138
26 159
26 178
27 101
27 104
27 111
27 131
27 219
27 228
28 98
28 102
28 160
28 211
28 214
28 220
29 13
29 89
29 152
29 191
29 224
30 119
30 143
30 147
30 170
30 210
31 46
31 62
31 69
31 124
31 197
32 11
32 84
32 179
32 189
32 223
33 20
33 40
33 57
33 121
33 157
33 208
34 2
34 76
34 78
34 99
34 200
35 5
35 79
35 82
35 118
35 238
36 14
36 55
36 213
36 217
37 133
37 148
38 86
