
graph resources/graph_datasets/queen8_8.col:
    base color: 20
    best solution:
        time    = 1.906415
        colors  = 10
    avg values:
        time    = 1.861415
        colors  = 10.000000


0 6
0 12
0 18
0 32
0 37
0 47
0 49
0 59
1 2
1 21
1 31
1 36
1 41
1 51
1 62
2 8
2 11
2 17
2 30
2 34
2 45
2 55
2 60
3 3
3 14
3 33
3 44
3 56
3 61
4 5
4 10
4 22
4 25
4 35
4 48
4 63
5 7
5 19
5 29
5 40
5 52
5 58
6 1
6 16
6 20
6 26
6 43
6 54
7 4
7 15
7 27
7 38
7 42
7 53
7 64
8 9
8 24
8 28
8 39
8 50
9 13
9 23
9 46
9 57
