
graph resources/graph_datasets/DSJC250.1.edgelist:
    base color: 13
    best solution:
        time    = 0.516613
        colors  = 10
    avg values:
        time    = 16.056009
        colors  = 10.000000


0 3
0 29
0 41
0 44
0 50
0 61
0 65
0 70
0 84
0 96
0 103
0 111
0 119
0 125
0 129
0 134
0 138
0 141
0 149
0 154
0 169
0 178
0 196
0 198
0 203
0 204
0 209
0 229
0 243
0 247
0 248
1 1
1 17
1 27
1 32
1 35
1 37
1 43
1 57
1 66
1 68
1 81
1 106
1 109
1 115
1 118
1 160
1 184
1 186
1 189
1 191
1 193
1 197
1 201
1 206
1 230
1 234
1 239
1 246
1 249
2 8
2 11
2 16
2 21
2 22
2 23
2 47
2 59
2 60
2 67
2 69
2 92
2 104
2 130
2 135
2 143
2 151
2 155
2 156
2 166
2 190
2 199
2 207
2 211
2 216
2 217
2 228
2 235
3 7
3 9
3 10
3 12
3 14
3 26
3 30
3 42
3 45
3 58
3 63
3 64
3 75
3 85
3 90
3 93
3 101
3 105
3 122
3 126
3 128
3 140
3 144
3 168
3 179
3 192
3 202
3 231
3 250
4 13
4 19
4 31
4 40
4 51
4 73
4 78
4 87
4 94
4 102
4 108
4 110
4 114
4 116
4 145
4 152
4 163
4 165
4 167
4 170
4 171
4 182
4 214
4 218
4 222
4 224
4 238
4 244
5 4
5 20
5 33
5 36
5 46
5 49
5 54
5 55
5 74
5 76
5 77
5 82
5 120
5 137
5 142
5 146
5 148
5 159
5 164
5 176
5 181
5 183
5 213
5 226
5 232
6 24
6 25
6 39
6 53
6 56
6 62
6 86
6 95
6 97
6 113
6 147
6 153
6 158
6 162
6 177
6 185
6 200
6 215
6 219
6 221
6 223
6 227
6 236
6 240
6 242
6 245
7 5
7 18
7 28
7 34
7 71
7 79
7 83
7 88
7 99
7 100
7 107
7 117
7 124
7 127
7 131
7 132
7 139
7 173
7 180
7 187
7 195
7 220
7 237
8 6
8 15
8 38
8 48
8 89
8 98
8 112
8 123
8 136
8 150
8 157
8 172
8 175
8 188
8 194
8 205
8 208
8 212
8 233
9 2
9 52
9 72
9 80
9 91
9 121
9 133
9 161
9 174
9 210
9 225
9 241
