
graph resources/graph_datasets/GEOM100b.edgelist:
    base color: 17
    best solution:
        time    = 0.000683
        colors  = 15
    avg values:
        time    = 0.047204
        colors  = 15.000000


0 9
0 13
0 16
0 18
0 20
0 67
0 97
0 98
1 28
1 34
1 48
1 53
1 59
1 62
1 88
1 99
2 1
2 11
2 24
2 31
2 36
2 54
2 55
2 83
3 5
3 14
3 39
3 50
3 58
3 60
3 69
3 70
3 77
4 25
4 33
4 35
4 38
4 41
4 52
4 61
4 85
5 21
5 43
5 49
5 51
5 91
5 94
6 22
6 27
6 57
6 63
6 65
6 72
6 75
6 93
6 100
7 10
7 12
7 81
7 84
7 86
8 2
8 6
8 42
8 46
8 68
8 89
8 90
9 23
9 26
9 37
9 45
9 66
9 76
9 78
9 96
10 3
10 4
10 7
10 56
10 74
10 79
10 87
11 8
11 30
11 32
11 47
11 73
12 17
12 29
12 80
12 82
12 92
12 95
13 19
13 40
13 44
13 71
14 15
14 64
