
graph resources/graph_datasets/GEOM90a.edgelist:
    base color: 16
    best solution:
        time    = 106.866959
        colors  = 13
    avg values:
        time    = 121.359726
        colors  = 13.000000


0 6
0 15
0 25
0 52
0 53
0 56
0 68
0 81
0 88
1 1
1 10
1 12
1 17
1 22
1 27
1 37
1 71
1 74
1 83
1 89
2 14
2 30
2 43
2 59
2 65
2 73
2 82
2 86
3 20
3 34
3 36
3 57
3 62
3 63
3 77
3 84
4 4
4 11
4 35
4 39
4 49
4 64
5 3
5 13
5 18
5 23
5 42
5 80
6 9
6 40
6 41
6 45
6 51
6 78
6 90
7 21
7 28
7 29
7 47
7 48
7 58
7 72
7 85
8 2
8 8
8 16
8 19
8 26
8 61
8 69
9 33
9 54
9 55
9 60
9 66
9 79
10 7
10 32
10 67
10 76
10 87
11 5
11 24
11 38
11 50
11 70
11 75
12 31
12 44
12 46
