
graph resources/graph_datasets/R100_1g.edgelist:
    base color: 9
    best solution:
        time    = 185.549026
        colors  = 5
    avg values:
        time    = 22.897137
        colors  = 5.900000


0 1
0 5
0 13
0 15
0 17
0 22
0 28
0 30
0 38
0 48
0 51
0 52
0 54
0 62
0 65
0 66
0 68
0 69
0 76
0 83
0 86
0 89
0 90
0 91
0 92
0 93
0 98
1 2
1 6
1 16
1 21
1 25
1 26
1 39
1 41
1 46
1 81
1 82
1 100
2 7
2 8
2 14
2 29
2 32
2 37
2 40
2 43
2 58
2 61
2 85
2 87
2 88
3 3
3 9
3 10
3 18
3 20
3 31
3 33
3 34
3 42
3 56
3 60
3 63
3 64
3 70
3 73
3 77
3 78
3 80
3 84
3 95
3 96
3 97
4 4
4 11
4 12
4 19
4 23
4 24
4 27
4 35
4 36
4 44
4 45
4 47
4 49
4 50
4 53
4 55
4 57
4 59
4 67
4 71
4 72
4 74
4 75
4 79
4 94
4 99
