
graph resources/graph_datasets/myciel7g.edgelist:
    base color: 9
    best solution:
        time    = 0.025441
        colors  = 8
    avg values:
        time    = 0.518529
        colors  = 8.000000


0 24
0 25
0 28
0 31
0 32
0 33
0 35
0 36
0 40
0 41
0 42
0 43
0 44
0 46
0 73
0 74
0 76
0 79
0 81
0 83
0 86
0 88
0 90
0 91
0 92
0 119
0 120
0 121
0 122
0 124
0 126
0 128
0 129
0 131
0 132
0 133
0 134
0 135
0 137
0 138
0 152
0 166
0 168
0 169
0 173
0 177
0 178
0 184
0 186
0 187
1 48
1 49
1 50
1 51
1 52
1 53
1 54
1 55
1 56
1 57
1 58
1 59
1 60
1 61
1 63
1 64
1 65
1 66
1 67
1 68
1 70
1 71
1 72
1 75
1 78
1 80
1 82
1 84
1 85
1 87
1 89
1 93
1 94
1 143
1 144
1 145
1 147
1 148
1 150
1 151
1 153
1 154
1 155
1 156
1 157
1 159
1 160
1 162
1 165
1 170
1 171
1 174
1 180
1 182
1 188
1 189
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 19
2 20
2 21
2 22
2 37
2 38
2 39
2 45
2 62
2 69
2 107
2 110
2 111
2 112
2 114
2 115
2 116
2 117
2 130
2 136
2 139
2 183
3 96
3 98
3 100
3 101
3 102
3 103
3 104
3 105
3 106
3 108
3 109
3 113
3 123
3 142
3 146
3 149
3 158
3 161
3 163
3 164
3 167
3 172
3 176
3 179
3 181
3 185
3 190
4 6
4 8
4 9
4 10
4 23
4 29
4 30
4 77
4 125
4 127
4 175
5 2
5 4
5 11
5 27
5 34
5 95
5 97
5 99
5 118
5 140
5 141
6 5
6 7
6 47
6 191
7 1
7 3
7 26
