
graph resources/graph_datasets/myciel7gb.edgelist:
    base color: 8
    best solution:
        time    = 1.583603
        colors  = 8
    avg values:
        time    = 4.001435
        colors  = 8.000000


0 37
0 40
0 44
0 53
0 55
0 61
0 62
0 64
0 66
0 67
0 68
0 74
0 76
0 77
0 85
0 87
0 88
0 89
0 90
0 103
0 104
0 113
0 114
0 115
0 127
0 130
0 132
0 136
0 137
0 139
0 143
0 148
0 150
0 151
0 155
0 156
0 157
0 159
0 161
0 164
0 167
0 169
0 170
0 171
0 172
0 173
0 174
0 175
0 178
0 181
0 183
0 184
0 187
0 188
1 24
1 25
1 26
1 27
1 30
1 31
1 32
1 33
1 34
1 35
1 38
1 39
1 42
1 43
1 45
1 46
1 71
1 73
1 78
1 79
1 80
1 81
1 83
1 86
1 92
1 93
1 119
1 124
1 126
1 129
1 133
1 135
1 141
1 166
1 180
1 185
2 15
2 60
2 84
2 99
2 106
2 107
2 109
2 110
2 112
2 117
2 120
2 122
2 125
2 134
2 138
2 146
2 149
2 153
2 154
2 158
2 162
2 168
2 176
2 177
2 179
2 182
2 189
3 2
3 5
3 7
3 10
3 13
3 16
3 18
3 21
3 28
3 36
3 41
3 49
3 52
3 54
3 57
3 63
3 65
3 72
3 75
3 91
3 97
3 100
3 102
3 105
3 108
3 111
3 116
3 123
3 131
3 144
3 147
3 152
3 160
3 163
3 186
4 1
4 3
4 12
4 14
4 19
4 22
4 48
4 50
4 59
4 69
4 82
4 96
4 98
4 121
4 140
4 145
5 4
5 11
5 23
5 47
5 51
5 58
5 70
5 94
5 118
5 142
5 165
6 6
6 8
6 9
6 17
6 20
6 95
6 101
6 128
6 190
7 29
7 56
7 191
